address,listing_dates,CRMLS_ID,Event,price
575 24th St ,"Jun 10, 2014,Jun 9, 2014,Jun 2, 2014,May 6, 2014,Apr 25, 2014,Apr 3, 2014,Mar 5, 2014,Jan 30, 2014,Oct 29, 2013,Oct 10, 2013,Mar 20, 2001,Dec 31, 2000,Sep 9, 1999,Jul 6, 1999,Aug 6, 1980,Jan 12, 1979","CRMLS #SB14045386,Public Records,CRMLS #SB14045386,CRMLS #SB14045386,CRMLS #SB14045386,CRMLS #SB14045386,CRMLS #SB14045386,CRMLS #SB13206640,CRMLS #SB13206640,CRMLS #SB13206640,Public Records,CRMLS #S189142,CRMLS #S187501,CRMLS #S187501,Public Records,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Relisted (Active),Pending (Backup Offers Accepted),Listed (Active),Delisted (Cancelled),Price Changed,Listed (Active),Sold (Public Records),Listed,Price Changed,Listed,Sold (Public Records),Sold (Public Records)","$1,410,000,$1,410,000,$1,459,000,*,*,$738,000,**,*,*,$225,000,$182,000"
718 The Strand ,"Feb 26, 2019,Feb 22, 2019,Feb 15, 2019,Jan 31, 2019,Oct 8, 2018,May 30, 2017,Mar 5, 2017,Aug 1, 2016,Jul 29, 2016,Jul 28, 2016,Feb 22, 2016,Jun 28, 2013,Aug 23, 2012,Aug 7, 1996,Jun 27, 1996,Jun 27, 1996,Jun 22, 1996,Sep 12, 1985","TheMLS #18-393866,Public Records,TheMLS #18-393866,TheMLS #18-393866,TheMLS #18-393866,CRMLS #SB17043498,CRMLS #SB17043498,CRMLS #SB16036651,CRMLS #SB16036651,CRMLS #SB16036651,CRMLS #SB16036651,CRMLS #S12105846,CRMLS #S12105846,Public Records,CRMLS #S119552,CRMLS #S119455,CRMLS #S119455,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Listed (Active),Delisted (Expired),Listed (Active),Delisted (Withdrawn),Relisted (Active),Delisted (Hold Do Not Show),Listed (Active),Delisted (Hold),Listed (Active),Sold (Public Records),Listed,Delisted,Listed,Sold (Public Records)","$6,363,000,$6,363,000,$6,995,000,*,*,*,$575,000,**,*,$192,000"
1030 Prospect Ave ,"Mar 14, 2019,Mar 14, 2019,Mar 14, 2019,Mar 5, 2019,Jan 17, 2019,Jan 10, 2019,Jan 10, 2019","CRMLS #SB19005420,SDMLS #301750909,Public Records,CRMLS #SB19005420,CRMLS #SB19005420,CRMLS #SB19005420,SDMLS #301750909","Sold (MLS) (Closed Sale),Sold (MLS),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Listed","$1,325,000,$1,325,000,$1,325,000,$1,299,000,$1,299,000"
1009 9th St ,"Mar 29, 2019,Mar 29, 2019,Mar 20, 2019,Mar 8, 2019,Mar 5, 2019,Jul 12, 1993,Jul 11, 1977","CRMLS #SB19049414,Public Records,CRMLS #SB19049414,CRMLS #SB19049414,CRMLS #SB19049414,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (Public Records)","$1,230,000,$1,230,000,$1,199,000,$200,000,$62,500"
460 Prospect Ave ,"Apr 30, 2019,Apr 30, 2019,Feb 28, 2019,Feb 17, 2019,Feb 17, 2019,Jan 24, 2019,Jan 7, 2019,Dec 5, 2018,Jul 12, 1994,Nov 4, 1988","CRMLS #SB18283888,Public Records,CRMLS #SB18283888,CRMLS #SB18283888,CRMLS #SB18283888,CRMLS #SB18283888,CRMLS #SB18283888,CRMLS #SB18283888,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Relisted (Active),Price Changed,Delisted (Hold Do Not Show),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (Public Records)","$1,375,000,$1,375,000,$1,390,000,$1,300,000,$283,180,$310,000"
301 Homer St ,"Jun 14, 2019,Jun 14, 2019,May 7, 2019,Apr 14, 2019,Apr 4, 2019","CRMLS #SB19074682,Public Records,CRMLS #SB19074682,CRMLS #SB19074682,CRMLS #SB19074682","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active)","$2,900,000,$2,900,000,$2,899,000"
809 19th St ,"Jul 22, 2019,Jul 19, 2019,Feb 15, 2019,Feb 15, 2019,Nov 30, 2018,Jun 26, 2018","CRMLS #SB19036055,CRMLS #SB19036055,CRMLS #SB19036055,CRMLS #SB19036055,CRMLS #SB18151921,CRMLS #SB18151921","Sold (MLS) (Closed Sale),Pending (Pending Sale),Listed (Active Under Contract),Listed,Delisted (Expired),Listed (Active)","$1,699,000,$1,699,000,*"
805 19th St ,"Jul 23, 2019,May 30, 2019,Aug 31, 2018","CRMLS #SB18213012,CRMLS #SB18213012,CRMLS #SB18213012","Sold (MLS) (Closed Sale),Contingent (Active Under Contract),Listed (Active)","$1,699,000,$1,699,000"
807 19th St ,"Jul 26, 2019,May 15, 2018,May 14, 2018","CRMLS #SB18113141,CRMLS #SB18113141,CRMLS #SB18113141","Sold (MLS) (Closed Sale),Contingent (Active Under Contract),Listed (Active)","$1,699,000,$1,729,000"
1023 4th St ,"Aug 2, 2019,Jul 31, 2019,Jul 3, 2019,Jun 27, 2019,Sep 9, 2005,Sep 9, 2005,Aug 3, 2005,Jan 8, 2002,Mar 2, 1994,Dec 18, 1981","CRMLS #SB19152573,CRMLS #SB19152573,CRMLS #SB19152573,CRMLS #SB19152573,CRMLS #S907022,Public Records,CRMLS #S907022,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS),Sold (Public Records),Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,402,500,$1,349,000,$1,000,000,$1,000,000,$975,000,$518,000,$315,000,$129,000"
